camera      0 0 5    0 0 0       0 1 0  45
sphere 0.96 0.18 0.25     1     0     5.4 3.0 -6.5     0.9
sphere 0.05 0.05 0.04     1     0     -6.5 8.2 -6.1     0.8
sphere 0.66 0.58 0.19     1     0     5.5 3.1 -4.8     0.6
sphere 0.78 0.4 0.2     1     0     0.0 5.7 -8.7     0.5
sphere 0.75 0.43 0.64     1     0     3.0 3.6 -7.1     0.5
sphere 0.6 0.02 0.47     1     0     -1.6 7.2 -4.7     0.7
sphere 0.74 0.39 0.92     1     0     7.6 6.1 -4.1     0.8
sphere 0.33 0.83 0.99     1     0     4.8 4.7 -5.4     0.1
sphere 0.74 0.61 0.21     1     0     3.4 6.1 -8.6     0.7
sphere 0.18 0.87 0.31     1     0     -9.2 4.6 -8.4     0.2
sphere 0.24 0.02 0.56     1     0     -2.0 0.7 -4.9     0.7
sphere 0.88 0.26 0.52     1     0     2.8 9.8 -7.9     0.8
sphere 0.94 0.93 0.07     1     0     8.0 -6.5 -7.3     0.4
sphere 0.71 0.41 0.84     1     0     2.2 3.4 -6.4     0.6
sphere 0.22 0.58 0.68     1     0     -1.3 3.9 -6.2     0.5
sphere 0.78 0.61 0.24     1     0     -3.7 -2.9 -7.5     0.5
sphere 0.28 0.38 0.98     1     0     -2.7 8.0 -5.3     0.8
sphere 0.4 0.61 0.44     1     0     4.3 8.4 -5.7     0.5
sphere 0.15 0.73 0.86     1     0     3.9 -0.3 -9.7     0.7
sphere 0.44 0.98 0.18     1     0     -2.6 -9.0 -5.8     0.2
sphere 0.44 0.56 0.83     1     0     -3.5 9.1 -7.0     0.4
sphere 0.25 0.68 0.34     1     0     4.3 7.8 -5.7     0.3
sphere 0.13 0.78 0.94     1     0     5.0 -3.9 -5.5     0.1
sphere 0.85 0.67 0.28     1     0     6.3 -4.1 -4.3     0.2
sphere 0.52 0.42 0.91     1     0     2.0 -7.5 -8.3     0.3
sphere 0.0 0.7 0.2     1     0     0.4 6.7 -9.9     0.8
sphere 0.61 0.83 0.25     1     0     9.3 -2.7 -6.0     0.5
sphere 0.82 0.07 0.98     1     0     -7.8 6.6 -7.6     0.4
sphere 0.68 0.94 0.92     1     0     -9.1 -5.6 -6.6     0.3
sphere 0.04 0.5 0.63     1     0     -5.3 9.1 -9.5     0.5
sphere 0.04 0.01 0.38     1     0     4.5 5.4 -4.6     0.6
sphere 0.36 0.58 0.82     1     0     3.9 3.4 -7.1     0.3
sphere 0.64 0.59 0.34     1     0     -5.1 -7.2 -6.1     0.3
sphere 0.93 0.58 0.82     1     0     -3.5 8.3 -5.1     0.1
sphere 0.94 0.43 0.37     1     0     4.5 7.2 -8.8     0.4
sphere 0.22 0.78 0.81     1     0     0.3 0.9 -7.2     0.6
sphere 0.11 0.51 0.85     1     0     -7.6 -5.3 -4.8     0.8
sphere 0.41 0.31 0.0     1     0     -3.4 -0.2 -5.5     0.8
sphere 0.96 0.34 0.42     1     0     -2.3 4.9 -8.6     0.1
sphere 0.33 0.83 0.46     1     0     7.7 -4.0 -4.3     0.2
sphere 0.59 0.39 0.2     1     0     0.3 7.5 -7.2     0.5
sphere 0.88 0.15 0.81     1     0     -2.5 -0.6 -7.9     0.4
sphere 0.28 0.17 0.61     1     0     -6.1 1.6 -8.7     0.6
sphere 0.53 0.89 0.7     1     0     2.0 9.3 -7.4     0.4
sphere 0.97 0.31 0.87     1     0     9.3 5.2 -9.5     0.2
sphere 0.67 0.57 0.67     1     0     8.0 -0.8 -4.4     0.2
sphere 0.07 0.7 0.64     1     0     -4.9 4.6 -7.4     0.3
sphere 0.21 0.41 0.66     1     0     1.3 -7.1 -8.3     0.4
sphere 0.91 0.74 0.62     1     0     -7.7 3.0 -6.8     0.1
sphere 0.58 0.16 0.65     1     0     0.6 1.6 -7.6     0.1
sphere 0.71 0.59 0.86     1     0     -2.2 8.5 -4.1     0.7
sphere 0.32 0.0 0.95     1     0     -4.5 4.8 -4.4     0.1
sphere 0.54 0.44 0.89     1     0     -8.4 3.8 -4.3     0.2
sphere 0.6 0.04 0.36     1     0     0.4 -5.4 -8.9     0.3
sphere 0.98 0.82 0.93     1     0     6.5 0.7 -6.3     0.7
sphere 0.57 0.48 0.48     1     0     -8.0 7.4 -8.2     0.9
sphere 0.17 0.83 0.44     1     0     -7.0 -5.5 -7.4     0.7
sphere 0.67 0.16 0.93     1     0     -4.3 -10.0 -8.8     0.1
sphere 0.38 0.59 0.86     1     0     8.4 3.9 -6.7     0.9
sphere 0.48 0.29 0.31     1     0     1.7 -1.2 -4.9     0.5
sphere 0.24 0.92 0.97     1     0     -7.2 -9.2 -9.1     0.7
sphere 0.78 0.98 0.02     1     0     -3.9 -4.8 -4.4     0.2
sphere 0.76 0.04 0.57     1     0     5.3 7.2 -8.5     0.1
sphere 0.31 0.94 0.05     1     0     0.2 1.2 -5.4     0.9
sphere 0.27 0.96 0.99     1     0     -8.6 -6.5 -7.2     0.5
sphere 0.29 0.93 0.73     1     0     -1.9 4.7 -7.8     0.6
sphere 0.3 0.38 0.18     1     0     6.9 3.3 -5.4     0.7
sphere 0.38 0.35 0.07     1     0     4.2 5.1 -9.6     0.3
sphere 0.8 0.86 0.54     1     0     4.2 2.6 -4.3     0.6
sphere 0.82 0.85 0.48     1     0     3.4 -1.9 -8.4     0.7
sphere 0.52 0.19 0.38     1     0     -0.4 -5.3 -8.8     0.9
sphere 0.6 0.3 0.28     1     0     -2.4 8.1 -4.9     0.8
sphere 0.07 0.71 0.52     1     0     0.6 4.2 -7.3     0.3
sphere 0.49 0.31 0.32     1     0     -4.8 -1.6 -8.1     0.2
sphere 0.57 0.47 0.11     1     0     3.7 8.5 -9.3     0.4
sphere 0.06 0.34 0.48     1     0     7.2 5.4 -7.8     0.1
sphere 0.09 0.24 0.97     1     0     5.0 8.5 -8.2     0.9
sphere 0.27 0.61 0.26     1     0     -1.5 -2.3 -9.8     0.1
sphere 0.27 0.24 0.94     1     0     -7.0 9.1 -8.8     0.8
sphere 0.31 0.89 0.77     1     0     8.0 -4.8 -6.5     0.4
sphere 0.7 0.41 0.99     1     0     -2.8 -0.3 -6.9     0.9
sphere 0.83 0.45 0.39     1     0     -3.4 -0.8 -7.2     0.8
sphere 0.59 0.12 0.92     1     0     2.0 9.4 -9.3     0.6
sphere 0.26 0.47 0.4     1     0     0.5 -8.9 -7.6     0.4
sphere 0.94 0.18 0.02     1     0     -3.4 4.1 -9.9     0.7
sphere 0.37 0.19 0.25     1     0     -1.6 -4.2 -6.4     0.4
sphere 0.63 0.7 0.83     1     0     7.5 -1.4 -5.6     0.8
sphere 0.92 0.82 0.94     1     0     2.5 1.7 -5.0     0.6
sphere 0.21 0.17 0.92     1     0     3.9 2.5 -5.1     0.9
sphere 0.82 0.07 0.67     1     0     -9.2 -8.1 -9.2     0.1
sphere 0.97 0.0 0.52     1     0     -6.5 6.1 -5.4     0.2
sphere 0.9 0.19 0.01     1     0     -4.5 2.9 -6.9     0.6
sphere 0.07 0.79 0.81     1     0     7.0 5.7 -9.8     0.8
sphere 0.84 0.62 0.02     1     0     -9.9 3.6 -7.5     0.7
sphere 0.01 0.02 0.67     1     0     8.4 -3.0 -7.4     0.5
sphere 0.02 0.64 0.89     1     0     7.2 1.0 -9.1     0.3
sphere 0.13 0.12 0.67     1     0     -6.2 -3.9 -5.2     0.9
sphere 0.32 0.45 0.34     1     0     0.1 -8.0 -6.3     0.7
sphere 0.58 0.72 0.31     1     0     7.8 -4.3 -5.9     0.2
sphere 0.83 0.83 0.97     1     0     -9.2 -7.7 -6.5     0.7
sphere 0.48 0.7 0.6     1     0     -8.6 6.3 -4.0     0.3
sphere 0.1 0.63 0.55     1     0     6.5 -1.6 -7.6     0.2
sphere 0.67 0.05 0.29     1     0     -4.6 7.7 -9.6     0.8
sphere 0.34 0.05 0.09     1     0     7.5 -2.9 -9.7     0.9
sphere 0.72 0.84 0.04     1     0     -5.5 -2.0 -4.1     0.4
sphere 0.75 0.18 0.96     1     0     8.2 0.1 -9.9     0.2
sphere 0.38 0.2 0.72     1     0     -3.9 4.5 -9.3     0.7
sphere 0.86 0.69 0.42     1     0     -0.2 9.3 -8.7     0.3
sphere 0.88 0.92 0.1     1     0     2.8 9.0 -6.2     0.1
sphere 0.12 0.55 0.29     1     0     -8.1 -1.3 -7.8     0.7
sphere 0.99 0.41 0.03     1     0     6.2 -3.1 -9.0     0.8
sphere 0.62 0.29 0.45     1     0     4.1 -0.4 -6.7     0.3
sphere 0.87 0.74 0.84     1     0     -0.3 -7.9 -8.9     0.5
sphere 0.31 0.91 0.09     1     0     -7.9 -3.2 -4.9     0.7
sphere 0.91 0.81 0.19     1     0     8.9 -0.1 -6.0     0.6
sphere 0.13 0.11 0.0     1     0     -2.2 1.3 -6.3     0.5
sphere 0.13 0.16 0.11     1     0     -5.3 1.0 -6.8     0.9
sphere 0.71 0.65 0.52     1     0     -7.4 -9.4 -4.5     0.6
sphere 0.7 0.11 0.76     1     0     5.3 -1.7 -9.5     0.7
sphere 0.01 0.37 0.52     1     0     -0.1 9.9 -4.5     0.9
sphere 0.31 0.73 0.66     1     0     -5.7 7.5 -6.4     0.3
sphere 0.17 0.34 0.38     1     0     -3.2 2.6 -4.9     0.2
sphere 0.21 0.55 0.35     1     0     0.7 -2.4 -7.0     0.2
sphere 0.46 0.32 0.31     1     0     8.4 6.0 -7.1     0.4
sphere 0.58 0.13 0.17     1     0     -2.3 -9.9 -6.5     0.6
sphere 0.79 0.48 0.42     1     0     1.2 -1.5 -6.7     0.3
sphere 0.38 0.41 0.77     1     0     7.7 -4.9 -7.0     0.6
sphere 0.22 0.5 0.4     1     0     -2.6 8.8 -8.4     0.8
sphere 0.73 0.31 0.41     1     0     -0.4 -2.9 -9.2     0.7
sphere 0.46 0.14 0.72     1     0     -4.9 5.1 -7.4     0.3
sphere 0.87 0.98 0.7     1     0     -9.4 8.6 -6.9     0.4
sphere 0.56 0.37 0.88     1     0     -8.3 0.4 -8.3     0.8
sphere 0.17 0.81 0.38     1     0     -3.9 -3.6 -8.2     0.3
sphere 0.91 0.54 0.48     1     0     -8.2 1.4 -7.8     0.8
sphere 0.74 0.51 0.68     1     0     2.9 7.7 -6.6     0.9
sphere 0.04 0.46 0.89     1     0     3.7 5.2 -8.0     0.2
sphere 0.13 0.98 0.31     1     0     6.8 7.0 -6.2     0.3
sphere 0.82 0.78 0.05     1     0     4.4 6.5 -8.3     0.7
sphere 0.96 0.42 0.55     1     0     -7.3 -9.8 -4.6     0.5
sphere 0.28 0.65 0.95     1     0     3.2 4.2 -7.7     0.4
sphere 0.57 0.47 0.5     1     0     1.8 9.7 -8.3     0.9
sphere 0.19 0.44 0.03     1     0     2.3 -7.4 -5.8     0.7
sphere 0.1 0.14 0.93     1     0     -6.4 -1.1 -5.9     0.6
sphere 0.58 0.26 0.66     1     0     2.3 -1.1 -7.0     0.2
sphere 0.56 0.92 0.89     1     0     1.5 -1.9 -4.4     0.5
sphere 0.05 0.9 0.14     1     0     -9.5 -1.3 -8.1     0.2
sphere 0.86 0.21 0.94     1     0     -3.8 3.2 -5.1     0.9
sphere 0.2 0.42 0.71     1     0     0.9 1.8 -5.4     0.7
sphere 0.8 0.23 0.23     1     0     6.3 6.8 -6.7     0.7
sphere 0.03 0.94 0.78     1     0     -5.0 1.5 -7.7     0.7
sphere 0.49 0.0 0.9     1     0     -4.6 -4.8 -5.7     0.2
sphere 0.73 0.13 0.68     1     0     -5.3 -0.7 -6.0     0.4
sphere 0.58 0.14 0.33     1     0     7.1 2.5 -7.3     0.6
sphere 0.76 0.49 0.78     1     0     0.0 5.0 -4.7     0.6
sphere 0.45 0.58 0.79     1     0     -5.6 7.2 -8.5     0.5
sphere 0.78 0.75 0.1     1     0     7.2 -6.6 -6.0     0.2
sphere 0.3 0.39 0.14     1     0     -5.4 -0.5 -8.4     0.3
sphere 0.65 0.49 0.53     1     0     5.2 -6.5 -7.6     0.7
sphere 0.54 0.23 0.62     1     0     6.2 3.7 -8.4     0.3
sphere 0.71 0.21 0.62     1     0     -2.7 -6.5 -5.1     0.6
sphere 0.57 0.79 0.06     1     0     -0.9 -9.8 -7.1     0.3
sphere 0.24 0.49 0.71     1     0     2.9 6.7 -7.1     0.7
sphere 0.87 0.62 0.53     1     0     8.1 1.3 -7.1     0.3
sphere 0.1 0.72 0.03     1     0     9.4 -4.4 -5.8     0.1
sphere 0.35 0.28 0.68     1     0     -2.7 -5.7 -8.9     0.8
sphere 0.72 0.95 0.98     1     0     9.6 2.6 -7.5     0.9
sphere 0.14 0.73 0.14     1     0     -3.2 9.8 -7.4     0.6
sphere 0.69 0.96 0.05     1     0     9.4 8.4 -6.8     0.9
sphere 0.27 0.54 0.13     1     0     8.8 6.7 -8.8     0.4
sphere 0.38 0.04 0.57     1     0     -3.3 -1.1 -9.5     0.2
sphere 0.56 0.15 0.99     1     0     -4.0 -4.7 -9.1     0.6
sphere 0.9 0.78 0.8     1     0     0.9 -5.8 -7.9     0.3
sphere 0.26 0.26 0.07     1     0     4.5 -1.1 -7.4     0.5
sphere 0.76 0.68 0.21     1     0     -1.8 8.0 -5.8     0.5
sphere 0.73 0.34 0.65     1     0     7.3 -7.6 -4.8     0.7
sphere 0.07 0.35 0.83     1     0     -6.8 7.9 -9.5     0.3
sphere 0.31 0.18 0.91     1     0     -1.8 -3.7 -8.8     0.7
sphere 0.62 0.18 0.73     1     0     6.1 -3.2 -8.0     0.7
sphere 0.48 0.57 0.09     1     0     6.2 9.6 -4.5     0.7
sphere 0.65 0.95 0.35     1     0     7.7 -0.6 -6.9     0.8
sphere 0.41 0.74 0.0     1     0     9.8 8.7 -4.5     0.8
sphere 0.81 0.85 0.89     1     0     -0.9 -8.4 -9.0     0.9
sphere 0.5 0.27 0.54     1     0     -4.6 2.6 -5.7     0.6
sphere 0.36 0.43 0.7     1     0     4.7 -6.7 -7.6     0.8
sphere 0.43 0.87 0.97     1     0     -8.8 -8.9 -4.6     0.8
sphere 0.02 0.15 0.2     1     0     1.2 1.6 -4.0     0.7
sphere 0.25 0.88 0.16     1     0     6.6 -2.3 -5.0     0.5
sphere 0.11 0.83 0.46     1     0     -3.6 -7.9 -6.3     0.3
sphere 0.06 0.5 0.8     1     0     -2.2 8.5 -8.4     0.4
sphere 0.54 0.83 0.11     1     0     8.0 -7.6 -4.0     0.4
sphere 0.61 0.09 0.16     1     0     5.1 -4.3 -7.3     0.8
sphere 0.01 0.01 0.89     1     0     -1.3 -7.0 -9.5     0.7
sphere 0.88 0.16 0.61     1     0     -8.2 -4.2 -6.4     0.2
sphere 0.93 0.13 0.13     1     0     -2.0 -0.6 -9.6     0.5
sphere 0.17 0.48 0.99     1     0     9.2 -6.6 -8.1     0.3
sphere 0.08 0.67 0.72     1     0     -9.8 5.6 -8.1     0.3
sphere 0.56 0.44 0.92     1     0     -4.6 6.0 -8.7     0.3
sphere 0.52 0.78 0.87     1     0     1.3 -4.5 -4.5     0.2
sphere 0.17 0.96 0.15     1     0     5.0 8.6 -6.4     0.6
sphere 0.54 0.4 0.17     1     0     -3.7 -3.0 -8.1     0.2
sphere 0.31 0.7 0.76     1     0     5.3 8.4 -7.8     0.5
sphere 0.99 0.88 0.03     1     0     6.8 -2.3 -5.3     0.9
sphere 0.77 0.65 0.24     1     0     9.1 0.0 -5.8     0.1
sphere 0.3 0.63 0.49     1     0     -7.2 -3.9 -7.1     0.2
sphere 0.67 0.01 0.46     1     0     -1.9 -6.7 -6.4     0.7
sphere 0.46 0.69 0.87     1     0     -5.6 9.5 -7.0     0.2
sphere 0.02 0.75 0.08     1     0     -9.7 -3.3 -5.3     0.1
sphere 0.07 0.5 0.64     1     0     -2.7 6.0 -8.5     0.9
sphere 0.98 0.53 0.54     1     0     7.9 0.2 -4.5     0.9
sphere 0.68 0.78 0.19     1     0     -2.9 -7.9 -5.9     0.2
sphere 0.65 0.26 0.19     1     0     3.7 -1.7 -6.5     0.2
sphere 0.39 0.89 0.55     1     0     8.6 -3.9 -4.3     0.4
sphere 0.11 0.55 0.14     1     0     1.6 5.6 -7.8     0.1
sphere 0.39 0.85 0.94     1     0     6.8 8.9 -5.1     0.2
sphere 0.01 0.9 0.17     1     0     7.9 -9.8 -5.0     0.8
sphere 0.44 0.66 0.66     1     0     8.4 -3.4 -5.0     0.6
sphere 0.16 0.95 0.99     1     0     -3.2 8.7 -9.6     0.2
sphere 0.98 0.03 0.42     1     0     0.9 -3.1 -7.3     0.2
sphere 0.33 0.91 0.73     1     0     6.0 -8.1 -7.1     0.8
sphere 0.65 0.46 0.07     1     0     2.7 4.5 -5.0     0.6
sphere 0.2 0.32 0.98     1     0     -7.4 4.6 -8.3     0.2
sphere 0.29 0.94 0.65     1     0     -10.0 -8.9 -9.4     0.1
sphere 0.31 0.05 0.6     1     0     -0.7 -0.2 -9.8     0.3
sphere 0.22 0.04 0.7     1     0     8.2 8.9 -8.1     0.7
sphere 0.28 0.41 0.31     1     0     0.6 8.4 -6.0     0.5
sphere 0.09 0.73 0.47     1     0     -7.0 2.8 -8.3     0.1
sphere 0.22 0.28 0.66     1     0     -8.9 0.2 -4.4     0.8
sphere 0.36 0.99 0.39     1     0     -1.7 -7.8 -7.5     0.8
sphere 0.01 0.47 0.25     1     0     -2.6 4.4 -9.0     0.5
sphere 0.94 0.79 0.31     1     0     1.8 -0.6 -7.7     0.8
sphere 0.98 0.99 0.25     1     0     8.7 3.9 -8.8     0.4
sphere 0.19 0.0 0.52     1     0     -9.4 -4.1 -7.4     0.6
sphere 0.81 0.88 0.01     1     0     -1.5 -10.0 -8.8     0.7
sphere 0.94 0.93 0.39     1     0     -7.4 -4.8 -7.3     0.4
sphere 0.53 0.62 0.07     1     0     -6.4 8.2 -5.7     0.2
sphere 0.05 0.29 0.66     1     0     0.5 7.9 -9.7     0.6
sphere 0.58 0.95 0.1     1     0     4.8 -7.6 -7.2     0.3
sphere 0.81 0.5 0.09     1     0     5.1 4.5 -4.3     0.7
sphere 0.84 0.16 0.3     1     0     -2.6 -3.4 -9.4     0.6
sphere 0.5 0.89 0.94     1     0     -1.7 -1.9 -6.8     0.5
sphere 0.29 0.09 0.25     1     0     -6.6 9.9 -8.9     0.2
sphere 0.19 0.13 0.21     1     0     1.5 1.9 -6.0     0.7
sphere 0.15 0.68 0.45     1     0     9.7 -4.7 -6.8     0.5
sphere 0.59 0.33 0.15     1     0     -7.7 -6.0 -9.1     0.5
sphere 0.9 0.89 0.77     1     0     -9.0 -4.5 -9.3     0.6
sphere 0.18 0.11 0.91     1     0     -3.7 -0.9 -6.5     0.9
sphere 0.06 0.86 0.38     1     0     -3.4 -5.6 -4.1     0.7
sphere 0.57 0.71 0.95     1     0     4.0 -3.7 -4.6     0.8
sphere 0.13 0.17 0.15     1     0     -9.7 -8.5 -9.3     0.4
sphere 0.16 0.25 0.51     1     0     -0.5 7.5 -8.0     0.2
sphere 0.74 0.75 0.33     1     0     -8.1 -9.5 -4.4     0.4
sphere 0.82 0.56 0.16     1     0     -7.7 -1.6 -4.7     0.1
sphere 0.59 0.06 0.21     1     0     4.6 1.0 -9.2     0.7
sphere 0.63 0.03 0.48     1     0     7.4 0.9 -5.1     0.6
sphere 0.27 0.23 0.35     1     0     -2.9 1.4 -9.6     0.3
sphere 0.04 0.78 0.79     1     0     5.7 -3.8 -8.1     0.5
sphere 0.63 0.52 0.7     1     0     2.2 -8.5 -4.5     0.5
sphere 0.49 0.17 0.53     1     0     -4.9 6.4 -9.6     0.9
sphere 0.31 0.8 0.69     1     0     -9.6 -0.3 -9.0     0.6
sphere 0.61 0.69 0.62     1     0     -1.2 4.4 -7.2     0.6
sphere 0.49 0.34 0.23     1     0     -9.4 -1.9 -7.8     0.4
sphere 0.03 0.99 0.35     1     0     -8.6 2.0 -7.3     0.6
sphere 0.98 0.74 0.29     1     0     -6.0 -7.5 -5.5     0.4
sphere 0.34 0.68 0.94     1     0     -8.6 9.5 -5.4     0.7
sphere 0.45 0.22 0.22     1     0     -4.0 5.1 -6.0     0.6
sphere 0.75 0.03 0.9     1     0     7.9 -1.0 -7.6     0.3
sphere 0.72 0.24 0.63     1     0     3.8 -2.1 -5.1     0.8
sphere 0.04 0.11 0.07     1     0     -4.1 5.4 -5.4     0.1
sphere 0.67 0.61 0.0     1     0     -1.6 5.7 -5.2     0.3
sphere 0.43 0.91 0.22     1     0     -1.8 -8.5 -4.1     0.3
sphere 0.75 0.9 0.18     1     0     9.8 -7.2 -9.4     0.9
sphere 0.46 0.09 0.47     1     0     8.0 6.9 -6.5     0.2
sphere 0.43 0.38 0.41     1     0     -6.6 -6.0 -8.6     0.7
sphere 0.81 0.62 0.83     1     0     -1.9 -5.6 -8.5     0.9
sphere 0.88 0.78 0.45     1     0     -4.3 7.0 -7.7     0.3
sphere 0.48 0.39 0.93     1     0     7.6 -2.5 -4.8     0.3
sphere 0.93 0.0 0.89     1     0     4.6 0.0 -9.4     0.1
sphere 0.23 0.77 0.4     1     0     5.6 -4.4 -8.0     0.2
sphere 0.63 0.18 0.42     1     0     9.0 -8.1 -5.5     0.6
sphere 0.4 0.21 0.81     1     0     -7.8 8.1 -8.2     0.6
sphere 0.57 0.01 0.33     1     0     -4.7 -3.7 -8.4     0.2
sphere 0.44 0.32 0.13     1     0     8.4 -10.0 -4.3     0.7
sphere 0.56 0.93 0.53     1     0     -5.8 0.5 -7.1     0.7
sphere 0.44 0.69 0.48     1     0     -7.5 2.2 -9.0     0.4
sphere 0.2 0.57 0.09     1     0     -9.2 -2.5 -4.1     0.6
sphere 0.33 0.13 0.09     1     0     -1.3 -5.7 -9.6     0.7
sphere 0.2 0.93 0.09     1     0     4.0 -7.7 -6.1     0.8
sphere 0.9 0.03 0.55     1     0     6.7 -5.8 -7.8     0.7
sphere 0.2 0.06 0.12     1     0     -1.6 -4.8 -5.2     0.7
sphere 0.89 0.7 0.92     1     0     8.6 3.8 -5.6     0.5
sphere 0.38 0.3 0.12     1     0     -8.8 0.0 -7.6     0.9
sphere 0.62 0.19 0.06     1     0     -0.8 -10.0 -6.7     0.2
sphere 0.37 0.84 0.8     1     0     5.3 2.2 -5.2     0.2
sphere 0.03 0.26 0.21     1     0     6.3 -2.6 -4.5     0.8
sphere 0.14 0.39 0.5     1     0     2.0 2.5 -9.7     0.5
sphere 0.11 0.82 0.69     1     0     -0.1 -5.3 -6.3     0.7
sphere 0.47 0.23 0.57     1     0     -8.9 -3.3 -6.8     0.8
sphere 0.33 0.28 0.34     1     0     4.4 -8.5 -4.9     0.2
sphere 0.1 0.85 0.44     1     0     3.8 0.5 -8.8     0.4
sphere 0.7 0.07 0.49     1     0     3.3 0.7 -7.4     0.8
sphere 0.73 0.3 0.6     1     0     -2.4 -8.0 -6.5     0.1
sphere 0.64 0.73 0.66     1     0     4.6 7.3 -7.9     0.3
sphere 0.15 0.96 0.57     1     0     -5.6 -5.8 -5.3     0.4
sphere 0.16 0.05 0.54     1     0     -8.0 7.4 -6.7     0.4
sphere 0.8 0.18 0.76     1     0     -3.4 -1.9 -9.8     0.2
sphere 0.11 0.49 0.71     1     0     0.1 4.1 -6.0     0.5
sphere 0.66 0.58 0.01     1     0     7.9 5.9 -7.7     0.9
sphere 0.53 0.14 0.53     1     0     -6.2 -6.3 -7.6     0.2
sphere 0.13 0.72 0.99     1     0     -7.5 -2.7 -9.5     0.9
sphere 0.44 0.52 0.33     1     0     -0.2 6.7 -7.1     0.8
sphere 0.04 0.22 0.35     1     0     0.3 -6.4 -7.9     0.7
sphere 0.04 0.5 0.42     1     0     7.6 -4.0 -4.3     0.8
sphere 0.34 0.47 0.02     1     0     -1.4 -2.3 -5.9     0.5
sphere 0.62 0.89 0.87     1     0     -7.5 -4.2 -4.8     0.5
sphere 0.95 0.56 0.99     1     0     -1.8 -3.2 -8.6     0.7
sphere 0.77 0.82 0.11     1     0     -5.2 1.3 -5.3     0.7
sphere 0.94 0.62 0.97     1     0     3.2 -0.5 -9.2     0.1
sphere 0.65 0.2 0.08     1     0     -2.1 8.1 -7.2     0.7
sphere 0.17 0.99 0.67     1     0     4.5 -9.3 -5.1     0.4
sphere 0.25 0.07 0.31     1     0     -9.2 1.6 -4.3     0.6
sphere 0.9 0.25 0.35     1     0     -0.6 1.8 -7.2     0.7
sphere 0.81 0.15 0.87     1     0     -9.3 -3.9 -6.3     0.8
sphere 0.76 0.57 0.22     1     0     2.1 5.0 -7.5     0.6
sphere 0.44 0.2 0.33     1     0     9.1 7.6 -4.5     0.5
sphere 0.03 0.49 0.06     1     0     -5.9 4.6 -8.9     0.4
sphere 0.28 0.82 0.28     1     0     7.3 -4.8 -5.7     0.7
sphere 0.65 0.02 0.99     1     0     9.6 7.4 -4.0     0.8
sphere 0.16 0.82 0.22     1     0     5.3 -9.8 -5.4     0.5
sphere 0.77 0.39 0.91     1     0     8.1 6.4 -5.7     0.7
sphere 0.48 0.44 0.58     1     0     -3.6 -4.5 -6.9     0.5
sphere 0.86 0.66 0.79     1     0     0.1 4.9 -4.6     0.1
sphere 0.65 0.84 0.47     1     0     4.3 6.5 -7.8     0.5
sphere 0.38 0.87 0.13     1     0     2.3 -8.4 -6.1     0.5
sphere 0.81 0.41 0.35     1     0     -3.4 6.7 -8.5     0.5
sphere 0.24 0.19 0.66     1     0     9.5 -3.9 -9.7     0.1
sphere 0.76 0.51 0.84     1     0     -1.9 7.4 -4.8     0.1
sphere 0.83 0.63 0.37     1     0     -3.4 0.7 -6.5     0.7
sphere 0.94 0.04 0.74     1     0     8.1 4.6 -9.2     0.4
sphere 0.43 0.92 0.91     1     0     -4.4 7.5 -7.4     0.8
sphere 0.85 0.45 0.64     1     0     -2.4 -5.7 -9.3     0.9
sphere 0.23 0.37 0.12     1     0     2.0 -6.8 -8.7     0.5
sphere 0.92 0.71 0.97     1     0     -5.4 7.4 -9.7     0.6
sphere 0.83 0.11 0.28     1     0     -1.0 -4.3 -8.7     0.5
sphere 0.53 0.42 0.47     1     0     -3.4 4.9 -5.8     0.8
sphere 0.15 0.6 0.06     1     0     6.2 4.9 -7.7     0.2
sphere 0.6 0.24 0.64     1     0     -7.0 7.4 -6.4     0.9
sphere 0.38 0.52 0.06     1     0     -6.2 -6.5 -5.2     0.6
sphere 0.52 0.72 0.58     1     0     -6.4 -2.0 -9.5     0.3
sphere 0.99 0.1 0.62     1     0     -1.5 6.1 -5.1     0.6
sphere 0.81 0.07 0.0     1     0     1.5 -3.0 -5.3     0.3
sphere 0.73 0.97 0.2     1     0     2.5 9.5 -8.9     0.2
sphere 0.16 0.78 0.55     1     0     6.2 0.9 -6.5     0.7
sphere 0.61 0.49 0.0     1     0     -9.1 3.6 -5.2     0.6
sphere 0.01 0.41 0.96     1     0     3.5 -5.2 -4.1     0.1
sphere 0.8 0.93 0.31     1     0     -4.3 7.7 -9.6     0.6
sphere 0.39 0.16 0.13     1     0     -0.2 2.8 -7.7     0.5
sphere 0.21 0.08 0.05     1     0     -2.4 -2.6 -6.9     0.9
sphere 0.76 0.67 0.43     1     0     1.1 7.5 -4.8     0.6
sphere 0.62 0.45 0.96     1     0     -5.2 -5.8 -9.8     0.7
sphere 0.02 0.29 0.28     1     0     8.6 -6.7 -5.3     0.1
sphere 0.75 0.64 0.21     1     0     -6.9 -0.7 -8.5     0.1
sphere 0.48 0.81 0.32     1     0     9.7 3.6 -7.9     0.1
sphere 0.76 0.06 0.84     1     0     -7.3 6.7 -9.3     0.1
sphere 0.06 0.88 0.14     1     0     0.6 1.3 -6.4     0.2
sphere 0.7 0.32 0.6     1     0     7.9 -6.1 -5.3     0.1
sphere 0.38 0.53 0.84     1     0     -7.5 6.9 -7.3     0.5
sphere 0.79 0.77 0.89     1     0     -6.5 0.7 -9.3     0.2
